Season,MatchWeek,Date,Team,Full Time Goals,Elo-rating before match,Elo-rating after match
1993-1994,1,1993-08-14,Arsenal,0,1500.0,1485.0
1993-1994,1,1993-08-14,Coventry,3,1500.0,1515.0
1993-1994,1,1993-08-14,Aston Villa,4,1500.0,1515.0
1993-1994,1,1993-08-14,QPR,1,1500.0,1485.0
1993-1994,1,1993-08-14,Chelsea,1,1500.0,1485.0
1993-1994,1,1993-08-14,Blackburn,2,1500.0,1515.0
1993-1994,1,1993-08-14,Liverpool,2,1500.0,1515.0
1993-1994,1,1993-08-14,Sheffield Weds,0,1500.0,1485.0
1993-1994,1,1993-08-14,Man City,1,1500.0,1500.0
1993-1994,1,1993-08-14,Leeds,1,1500.0,1500.0
1993-1994,1,1993-08-14,Newcastle,0,1500.0,1485.0
1993-1994,1,1993-08-14,Tottenham,1,1500.0,1515.0
1993-1994,1,1993-08-14,Oldham,0,1500.0,1485.0
1993-1994,1,1993-08-14,Ipswich,3,1500.0,1515.0
1993-1994,1,1993-08-14,Sheffield United,3,1500.0,1515.0
1993-1994,1,1993-08-14,Swindon,1,1500.0,1485.0
1993-1994,1,1993-08-14,Southampton,0,1500.0,1485.0
1993-1994,1,1993-08-14,Everton,2,1500.0,1515.0
1993-1994,1,1993-08-14,West Ham,0,1500.0,1485.0
1993-1994,1,1993-08-14,Wimbledon,2,1500.0,1515.0
1993-1994,1,1993-08-15,Norwich,0,1500.0,1485.0
1993-1994,1,1993-08-15,Man United,2,1500.0,1515.0
1993-1994,1,1993-08-16,Tottenham,0,1515.0,1498.71
1993-1994,1,1993-08-16,Arsenal,1,1485.0,1501.29
1993-1994,1,1993-08-17,Wimbledon,1,1515.0,1513.71
1993-1994,1,1993-08-17,Chelsea,1,1485.0,1486.29
1993-1994,1,1993-08-17,Leeds,1,1500.0,1514.35
1993-1994,1,1993-08-17,West Ham,0,1485.0,1470.65
1993-1994,1,1993-08-17,Ipswich,1,1515.0,1528.71
1993-1994,1,1993-08-17,Southampton,0,1485.0,1471.29
1993-1994,1,1993-08-17,Everton,1,1515.0,1529.35
1993-1994,1,1993-08-17,Man City,0,1500.0,1485.65
1993-1994,1,1993-08-18,Blackburn,2,1515.0,1498.71
1993-1994,1,1993-08-18,Norwich,3,1485.0,1501.29
1993-1994,1,1993-08-18,Coventry,2,1515.0,1528.71
1993-1994,1,1993-08-18,Newcastle,1,1485.0,1471.29
1993-1994,1,1993-08-18,Man United,3,1515.0,1530.0
1993-1994,1,1993-08-18,Sheffield United,0,1515.0,1500.0
1993-1994,1,1993-08-18,QPR,1,1485.0,1471.29
1993-1994,1,1993-08-18,Liverpool,3,1515.0,1528.71
1993-1994,1,1993-08-18,Sheffield Weds,0,1485.0,1486.29
1993-1994,1,1993-08-18,Aston Villa,0,1515.0,1513.71
1993-1994,1,1993-08-18,Swindon,0,1485.0,1470.0
1993-1994,1,1993-08-18,Oldham,1,1485.0,1500.0
1993-1994,2,1993-08-21,Wimbledon,2,1513.71,1513.71
1993-1994,2,1993-08-21,Aston Villa,2,1513.71,1513.71
1993-1994,2,1993-08-21,Tottenham,1,1498.71,1513.14
1993-1994,2,1993-08-21,Man City,0,1485.65,1471.21
1993-1994,2,1993-08-21,Sheffield Weds,0,1486.29,1471.94
1993-1994,2,1993-08-21,Arsenal,1,1501.29,1515.64
1993-1994,2,1993-08-21,QPR,2,1471.29,1486.29
1993-1994,2,1993-08-21,Southampton,1,1471.29,1456.29
1993-1994,2,1993-08-21,Man United,1,1530.0,1527.49
1993-1994,2,1993-08-21,Newcastle,1,1471.29,1473.8
1993-1994,2,1993-08-21,Everton,4,1529.35,1543.09
1993-1994,2,1993-08-21,Sheffield United,2,1500.0,1486.26
1993-1994,2,1993-08-21,Ipswich,1,1528.71,1541.89
1993-1994,2,1993-08-21,Chelsea,0,1486.29,1473.11
1993-1994,2,1993-08-21,Coventry,1,1528.71,1526.22
1993-1994,2,1993-08-21,West Ham,1,1470.65,1473.13
1993-1994,2,1993-08-21,Blackburn,1,1498.71,1513.76
1993-1994,2,1993-08-21,Oldham,0,1500.0,1484.94
1993-1994,2,1993-08-21,Leeds,0,1514.35,1498.79
1993-1994,2,1993-08-21,Norwich,4,1501.29,1516.86
1993-1994,2,1993-08-22,Swindon,0,1470.0,1457.51
1993-1994,2,1993-08-22,Liverpool,5,1528.71,1541.2
1993-1994,2,1993-08-23,Aston Villa,1,1513.71,1499.3
1993-1994,2,1993-08-23,Man United,2,1527.49,1541.89
1993-1994,2,1993-08-24,Arsenal,2,1515.64,1529.92
1993-1994,2,1993-08-24,Leeds,1,1498.79,1484.52
1993-1994,2,1993-08-24,Man City,0,1471.21,1458.04
1993-1994,2,1993-08-24,Blackburn,2,1513.76,1526.94
1993-1994,2,1993-08-24,Oldham,3,1484.94,1486.72
1993-1994,2,1993-08-24,Coventry,3,1526.22,1524.45
1993-1994,2,1993-08-24,Sheffield United,2,1486.26,1502.45
1993-1994,2,1993-08-24,Wimbledon,1,1513.71,1497.53
1993-1994,2,1993-08-25,West Ham,2,1473.13,1488.08
1993-1994,2,1993-08-25,Sheffield Weds,0,1471.94,1456.99
1993-1994,2,1993-08-25,Southampton,5,1456.29,1471.34
1993-1994,2,1993-08-25,Swindon,1,1457.51,1442.46
1993-1994,2,1993-08-25,Norwich,1,1516.86,1532.93
1993-1994,2,1993-08-25,Ipswich,0,1541.89,1525.81
1993-1994,2,1993-08-25,Chelsea,2,1473.11,1488.68
1993-1994,2,1993-08-25,QPR,0,1486.29,1470.72
