Season,Team,Season Start Elo,Season End Elo,Elo-difference
2002-2003,Sunderland,1471.66,1315.48,-156.18
2015-2016,Chelsea,1800.42,1646.36,-154.06
1994-1995,Leicester,1500.0,1349.0,-151.0
1997-1998,Newcastle,1640.13,1494.01,-146.12
2024-2025,Tottenham,1640.65,1501.4,-139.25
2018-2019,Huddersfield,1490.34,1352.61,-137.73
2020-2021,Liverpool,1883.65,1752.89,-130.76
2013-2014,Man United,1806.93,1678.55,-128.38
2007-2008,Derby,1403.74,1277.0,-126.74
1995-1996,Leeds,1560.35,1434.05,-126.3
2020-2021,Sheffield United,1562.2,1437.97,-124.23
1999-2000,Watford,1500.0,1382.37,-117.63
1996-1997,Everton,1581.51,1468.46,-113.05
2005-2006,Man City,1574.34,1461.29,-113.05
1995-1996,QPR,1559.45,1447.73,-111.72
2015-2016,Aston Villa,1469.67,1358.64,-111.03
1996-1997,Blackburn,1629.11,1519.32,-109.79
2023-2024,Brentford,1648.93,1540.56,-108.37
2002-2003,West Brom,1500.0,1396.17,-103.83
1994-1995,Ipswich,1459.91,1357.33,-102.58
2016-2017,Southampton,1666.72,1564.98,-101.74
1994-1995,Arsenal,1594.31,1494.05,-100.26
1996-1997,Nott'm Forest,1562.64,1464.77,-97.87
2011-2012,Wolves,1505.41,1408.36,-97.05
2007-2008,Reading,1554.46,1457.82,-96.64
1995-1996,Bolton,1500.0,1406.31,-93.69
2009-2010,Burnley,1500.0,1408.04,-91.96
1993-1994,Swindon,1500.0,1413.16,-86.84
2013-2014,Norwich,1536.98,1450.21,-86.77
2008-2009,Middlesbrough,1521.18,1435.98,-85.2
2008-2009,Hull,1500.0,1419.45,-80.55
2019-2020,Crystal Palace,1596.3,1518.1,-78.2
2000-2001,West Ham,1550.51,1472.41,-78.1
2012-2013,Fulham,1600.16,1523.35,-76.81
2013-2014,Cardiff,1500.0,1426.36,-73.64
2023-2024,Luton,1500.0,1427.8,-72.2
2023-2024,Brighton,1636.71,1565.62,-71.09
2017-2018,Swansea,1544.1,1473.83,-70.27
1997-1998,Barnsley,1500.0,1430.17,-69.83
2012-2013,Wigan,1574.0,1504.68,-69.32
2004-2005,Portsmouth,1540.31,1471.54,-68.77
1994-1995,Sheffield Weds,1531.73,1466.64,-65.09
1998-1999,Wimbledon,1494.11,1430.77,-63.34
2000-2001,Bradford,1462.14,1399.42,-62.72
1993-1994,Coventry,1500.0,1441.14,-58.86
1998-1999,Charlton,1500.0,1447.1,-52.9
2005-2006,Birmingham,1531.41,1479.51,-51.9
2017-2018,Stoke,1538.51,1487.93,-50.58
2019-2020,Bournemouth,1515.41,1466.07,-49.34
1993-1994,Oldham,1500.0,1463.64,-36.36
2010-2011,Blackpool,1500.0,1482.78,-17.22
