Rank,Team,Ratings
1,Liverpool,1794.1668225768392
2,Man City,1783.9336362449683
3,Arsenal,1779.4023995198029
4,Chelsea,1709.403740235923
5,Aston Villa,1694.997942227669
6,Brighton,1669.5536151128522
7,Newcastle,1667.5209270613066
8,Crystal Palace,1650.28453397194
9,Everton,1628.4757607729086
10,Nott'm Forest,1626.080922822696
11,Brentford,1623.6268386529443
12,Bournemouth,1609.241622898755
13,Fulham,1597.9349864290741
14,Wolves,1554.6341450115995
15,Man United,1550.2074640221497
16,West Ham,1548.4123508408745
17,Tottenham,1506.6471983090287
18,Wigan,1504.682658989941
19,Birmingham,1490.7920108420692
20,Stoke,1487.927697490148
21,Bolton,1483.7860064416318
22,Blackpool,1482.784291597174
23,Charlton,1474.1706679574993
24,Swansea,1473.8331673651344
25,Oldham,1463.6355620487109
26,Hull,1457.1243498034744
27,Leeds,1455.1340976858792
28,Sheffield Weds,1445.0393911344781
29,Cardiff,1444.7767440397186
30,Blackburn,1444.4517249477567
31,Coventry,1442.280321836186
32,Leicester,1442.102633305713
33,West Brom,1441.4019866043955
34,Portsmouth,1436.357519499149
35,Burnley,1436.3378502898827
36,Barnsley,1430.1729410510375
37,Luton,1427.7986121793654
38,Reading,1424.378644854354
39,Middlesbrough,1417.1607229912784
40,Swindon,1413.1621065400343
41,QPR,1412.5554312388342
42,Sunderland,1410.630151530892
43,Ipswich,1403.1202128667933
44,Bradford,1399.4189259813652
45,Wimbledon,1396.4574867806216
46,Watford,1386.1466375080784
47,Norwich,1360.5967740328454
48,Sheffield United,1353.7789181440696
49,Huddersfield,1352.6072487329902
50,Southampton,1333.872652567289
51,Derby,1276.9989444098765
